N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;5000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;65;-1.32;0.17;0.21;0.27;0.15;0.21;0.06;0;0
2;65;-0.74;0.17;0.19;0.28;0.15;0.21;0.02;0;0
3;65;-0.84;0.18;0.23;0.23;0.16;0.19;0.22;0;0
4;65;-0.79;0.16;0.23;0.25;0.14;0.21;0.06;0;0
5;65;-0.77;0.16;0.2;0.26;0.17;0.21;0.02;0;0
6;65;-0.92;0.17;0.2;0.27;0.17;0.2;0.05;0;0
1;66;-0.23;0.2;0.2;0.22;0.17;0.21;0.17;0;0
2;66;-0.12;0.18;0.18;0.22;0.16;0.27;0.25;0;0
3;66;-0.29;0.13;0.18;0.18;0.24;0.27;1;1;0
1;67;-0.5;0.16;0.2;0.28;0.16;0.2;0.04;0;0
2;67;-0.62;0.17;0.21;0.26;0.16;0.2;0.07;0;0
1;68;-0.54;0.19;0.21;0.25;0.17;0.18;0.03;0;0
2;68;-0.53;0.16;0.21;0.23;0.17;0.23;0.01;0;0
3;68;-0.81;0.16;0.21;0.23;0.17;0.23;0.05;0;0
4;68;-0.62;0.18;0.19;0.28;0.17;0.19;0.07;0;0
5;68;-0.63;0.18;0.21;0.22;0.19;0.2;0.01;0;0
1;69;-2.09;0.2;0.2;0.2;0.18;0.23;0.04;0;0
2;69;-1.97;0.21;0.17;0.2;0.2;0.22;0.02;0;0
3;69;-1.21;0.19;0.17;0.21;0.21;0.23;0.02;0;0
4;69;-1.01;0.22;0.19;0.19;0.2;0.2;0.02;0;0
5;69;-0.87;0.21;0.22;0.16;0.17;0.25;0.04;0;0
6;69;-0.77;0.19;0.19;0.25;0.18;0.19;0.12;0;0
7;69;-0.59;0.21;0.16;0.27;0.18;0.18;0.05;0;0
1;70;-0.53;0.18;0.21;0.24;0.13;0.24;0.06;0;0
2;70;-0.84;0.17;0.18;0.27;0.13;0.25;0.05;0;0
3;70;-0.68;0.19;0.19;0.21;0.17;0.25;0.25;0;0
4;70;-0.73;0.17;0.19;0.19;0.18;0.28;0.07;0;0
5;70;-0.97;0.16;0.19;0.19;0.17;0.29;0.12;0;0
6;70;-0.87;0.19;0.19;0.19;0.18;0.25;0.05;0;0
7;70;-0.87;0.16;0.2;0.19;0.19;0.27;0.11;0;0
8;70;-0.83;0.18;0.21;0.2;0.16;0.25;0.05;0;0
9;70;-0.7;0.17;0.19;0.21;0.16;0.26;0.06;0;0
10;70;-0.61;0.15;0.17;0.28;0.17;0.24;0.05;0;0
1;71;-1.04;0.17;0.2;0.26;0.17;0.21;0.09;0;0
1;72;-0.93;0.2;0.19;0.24;0.17;0.2;0.05;0;0
2;72;-0.85;0.19;0.18;0.28;0.15;0.2;0.05;0;0
3;72;-1.07;0.18;0.19;0.27;0.15;0.21;0.07;0;0
4;72;-0.92;0.15;0.18;0.28;0.16;0.22;0.07;0;0
5;72;-0.84;0.17;0.2;0.24;0.16;0.22;0.09;0;0
6;72;-0.87;0.16;0.21;0.25;0.17;0.22;0.11;0;0
7;72;-0.65;0.18;0.2;0.24;0.18;0.21;0.06;0;0
1;73;-0.52;0.15;0.21;0.24;0.15;0.24;0.13;0;0
1;74;-0.86;0.17;0.2;0.23;0.15;0.24;0.02;0;0
2;74;-0.95;0.16;0.19;0.27;0.16;0.21;0.12;0;0
3;74;-0.78;0.15;0.19;0.23;0.15;0.28;0.04;0;0
4;74;-0.75;0.15;0.19;0.24;0.18;0.24;0.04;0;0
1;75;-0.6;0.16;0.22;0.24;0.17;0.21;0.05;0;0
2;75;-0.54;0.15;0.21;0.22;0.22;0.21;0.15;0;0
3;75;-0.59;0.14;0.19;0.24;0.19;0.23;0.08;0;0
4;75;-0.68;0.15;0.24;0.22;0.18;0.2;0.03;0;0
5;75;-0.84;0.17;0.23;0.23;0.19;0.18;0.02;0;0
1;76;-0.79;0.19;0.25;0.15;0.15;0.26;0.13;0;0
2;76;-0.72;0.23;0.24;0.18;0.15;0.2;0.06;0;0
3;76;-0.78;0.17;0.32;0.15;0.13;0.23;0.02;0;0
4;76;-0.69;0.18;0.17;0.33;0.13;0.19;1;1;0
1;77;-0.68;0.18;0.28;0.18;0.17;0.19;0.01;0;0
2;77;-1.51;0.19;0.34;0.23;0.11;0.14;0.01;0;0
3;77;-0.8;0.18;0.28;0.18;0.17;0.19;0.05;0;0
4;77;-0.78;0.19;0.25;0.17;0.16;0.22;0.13;0;0
5;77;-0.83;0.21;0.28;0.15;0.14;0.23;0.11;0;0
6;77;-0.7;0.23;0.25;0.19;0.15;0.18;1;1;0
1;78;-4.94;0.16;0.23;0.22;0.15;0.23;0.03;0;0
2;78;-2.12;0.16;0.21;0.27;0.14;0.22;0.07;0;0
3;78;-2.28;0.15;0.21;0.24;0.16;0.23;0.13;0;0
4;78;-0.71;0.16;0.22;0.23;0.16;0.23;0.03;0;0
5;78;-0.68;0.15;0.18;0.24;0.17;0.26;1;1;0
1;79;-0.71;0.15;0.2;0.22;0.2;0.23;0.08;0;0
2;79;-0.73;0.17;0.19;0.21;0.22;0.21;0.11;0;0
3;79;-0.56;0.16;0.21;0.26;0.16;0.21;0.15;0;0
1;80;-0.56;0.19;0.2;0.22;0.21;0.19;0.03;0;0
2;80;-0.77;0.18;0.17;0.33;0.14;0.19;0.05;0;0
1;81;-32.56;0.21;0.16;0.14;0.19;0.3;0.02;0;0
2;81;-35.33;0.21;0.19;0.16;0.21;0.24;0.03;0;0
1;82;-33.8;0.22;0.14;0.21;0.2;0.22;0.07;0;0
2;82;-23.01;0.21;0.17;0.16;0.18;0.29;0.02;0;0
3;82;-24.11;0.23;0.22;0.13;0.19;0.22;0.09;0;0
1;83;-37.38;0.18;0.12;0.24;0.19;0.27;0.06;0;0
2;83;-37.28;0.19;0.15;0.12;0.21;0.33;0.01;0;0
3;83;-34.11;0.18;0.15;0.18;0.2;0.3;0.01;0;0
1;84;-89.66;0.19;0.18;0.15;0.17;0.32;0.01;0;0
2;84;-91.6;0.23;0.19;0.11;0.16;0.32;0.01;0;0
3;84;-98.67;0.21;0.16;0.11;0.17;0.36;0.01;0;0
4;84;-93.41;0.19;0.16;0.13;0.2;0.31;0.03;0;0
5;84;-77.13;0.2;0.19;0.15;0.23;0.24;0.13;0;0
6;84;-48.08;0.21;0.15;0.23;0.17;0.24;0.04;0;0
7;84;-40.97;0.28;0.17;0.15;0.21;0.18;0.08;0;0
1;85;-30.4;0.29;0.14;0.11;0.17;0.28;0.02;0;0
2;85;-33.11;0.3;0.25;0.05;0.16;0.23;0.02;0;0
3;85;-31.55;0.2;0.14;0.2;0.16;0.3;1;1;0
1;86;-44.67;0.11;0.1;0.27;0.14;0.38;0.01;0;0
2;86;-38.92;0.19;0.2;0.17;0.18;0.27;0.05;0;0
1;87;-36.79;0.23;0.12;0.18;0.23;0.24;0.05;0;0
2;87;-35.7;0.22;0.18;0.14;0.28;0.18;0.04;0;0
3;87;-23.26;0.23;0.13;0.19;0.27;0.18;0.12;0;0
